Cultivo;Fecha_Siembra;Fecha_Cosecha;Rendimiento;;;
SOJA;15/10/2015;30/04/2016;1937;;;
SOJA;15/10/2016;30/04/2017;3000;;;
SOJA;15/10/2017;30/04/2018;1200;;;
SOJA;15/10/2018;30/04/2019;2900;;;
SOJA;15/10/2019;30/04/2020;2000;;;
SOJA;15/10/2020;30/04/2021;1700;;;
SOJA;15/10/2021;30/04/2022;2800;;;
SOJA;15/10/2022;30/04/2023;650;;;
SOJA;15/10/2023;30/04/2024;2400;;;
MAIZ;20/09/2015;20/04/2016;7136;;;
MAIZ;20/09/2016;20/04/2017;7000;;;
MAIZ;20/09/2017;20/04/2018;4500;;;
MAIZ;20/09/2018;20/04/2019;7700;;;
MAIZ;20/09/2019;20/04/2020;6800;;;
MAIZ;20/09/2020;20/04/2021;5400;;;
MAIZ;20/09/2021;20/04/2022;5800;;;
MAIZ;20/09/2022;20/04/2023;1400;;;
MAIZ;20/09/2023;20/04/2024;6758;;;
TRIGO;05/07/2016;22/11/2016;3521;;;
TRIGO;05/07/2017;22/11/2017;3600;;;
TRIGO;05/07/2018;22/11/2018;2400;;;
TRIGO;05/07/2019;22/11/2019;3700;;;
TRIGO;05/07/2020;22/11/2020;3400;;;
TRIGO;05/07/2021;22/11/2021;4200;;;
TRIGO;05/07/2022;22/11/2022;4000;;;
TRIGO;05/07/2023;22/11/2023;4200;;;
TRIGO;05/07/2024;22/11/2024;4116;;;
COLZA;30/04/2016;30/11/2016;1577;;;
COLZA;30/04/2017;30/11/2017;1500;;;
COLZA;30/04/2018;30/11/2018;1000;;;
COLZA;30/04/2019;30/11/2019;1700;;;
COLZA;30/04/2020;30/11/2020;1600;;;
COLZA;30/04/2021;30/11/2021;1650;;;
COLZA;30/04/2022;30/11/2022;1800;;;
COLZA;30/04/2023;30/11/2023;1700;;;
COLZA;30/04/2024;30/11/2024;1657;;;
